Id;Codifarm;Nom;Municipi;Adreça;CP;Tipusdevia;Numerovia;Telefon;Nomabs
76897;F08004580;ALONSO RAMOS, EVA;BARCELONA;OLZINELLES;08014;CARRER;21;934212719;BARCELONA 3-E
76898;F08004598;PEREITA ANTA, MA.ANGELS;BARCELONA;DE PRAT;08012;RAMBLA;23;932189828;BARCELONA 6-B
76899;F08004608;AGUILAR PEREZ, MARIA FRANCISCA;BARCELONA;AUSIAS MARC;08010;CARRER;31;933170291;BARCELONA 2-H
76900;F08004615;INFIESTA BARCENA, MARIA;BARCELONA;BOGATELL, LOCAL 6;08018;AVINGUDA;19-21;933000168;BARCELONA 10-A
76901;F08004622;VILADOT GAMISSANS, JOAN;BARCELONA;AMIGO;08021;CARRER;30;932003730;BARCELONA 5-A
76902;F08004630;ARANDA GUERRA,RICARDO JOSE/GUERRA MAURICI, MARIA DOLORES;BARCELONA;FABRA I PUIG;08016;PASSEIG;210;934084708;BARCELONA 8-J
76903;F08004647;IGLESIAS HUIX, FRANCESCA;BARCELONA;PARAL.LEL;08015;AVINGUDA;131;932236501;BARCELONA 3-B
76904;F08004654;XALABARDER MIRAMANDA,AVEL.LI;BARCELONA;PUJADES;08005;CARRER;247;933070168;BARCELONA 10-B
76905;F08004661;ROCA VERS, MONTSERRAT/ROCA VERS,ELISENDA;BARCELONA;SANTA MADRONA;08004;PLAÇA;8-9;934235625;BARCELONA 3-B
76906;F08004679;MARTINEZ GARCIA, ALMUDENA;BARCELONA;PARLAMENT;08015;CARRER;17;934233830;BARCELONA 2-A
76907;F08004686;LAFARGA MESTRE, JORDI;BARCELONA;SANT PERE;08010;RONDA;15;933173938;BARCELONA 2-H
76908;F08004693;LUNA MOLERO, MARIA DEL MAR;BARCELONA;VILA VILA;08004;CARRER;57 bis;932414185;BARCELONA 3-A
76909;F08004703;SABIN URQUIA, MARTA;BARCELONA;EIVISSA;08032;PLAÇA;14;932290369;BARCELONA 7-F
76910;F08004710;FUSTE JUBERT, SILVIA;BARCELONA;SANT ANTONI MARIA CLARET;08026;CARRER;229;932369840;BARCELONA 7-G
76911;F08004728;AMAT CASAÑE, M.EULALIA;BARCELONA;JOSEP ANSELM CLAVE;08002;CARRER;4;933171181;BARCELONA 1-C
76912;F08004735;JIMENEZ BONET, JORDI;BARCELONA;TRINXANT;08026;CARRER;65;932361920;BARCELONA 10-F
76913;F08004742;PLANES CASALS, MARIA CARMEN;BARCELONA;MATANZAS;08027;CARRER;46-48;933527453;BARCELONA 9-C
76914;F08004750;MACIA CREUS, ANNA M;BARCELONA;MALLORCA;08026;CARRER;591;932362710;BARCELONA 10-E
76915;F08004774;SERRA TRULL, ANDREU;BARCELONA;BERLIN;08029;CARRER;71;934301120;BARCELONA 4-A
76916;F08004781;GIRO LOPERENA, JAUME;BARCELONA;MARIA AGUILO;08005;CARRER;53;933071517;BARCELONA 10-B
76917;F08004799;LLAMBI MATEOS, FRANCESC;BARCELONA;PROVENÇA;08029;CARRER;71;932300411;BARCELONA 2-C
76918;F08004809;BARGALLO FERRER, MIREIA;BARCELONA;LESSEPS;08023;PLAÇA;11;932178375;BARCELONA 6-C
76919;F08004816;GENIS CALLOL, GLORIA;BARCELONA;CARRETES;08001;CARRER;35;934417184;BARCELONA 1-D
76920;F08004823;MIER DE TERAN PAYRO,MONTSERRAT;BARCELONA;PONS I GALLARZA;08030;CARRER;1;933450157;BARCELONA 9-H
76921;F08004830;SANCHIS TINTORE, ROSARIO;BARCELONA;FERRAN AGULLO;08021;CARRER;4;932006729;BARCELONA 5-A
76922;F08004855;PASCAL CANALIAS, DOLORS;BARCELONA;GAUDI;08025;AVINGUDA;85;934358268;BARCELONA 2-K
76923;F08004862;TRIGO DIAZ, ANA MARIA;BARCELONA;PROVENÇA;08025;CARRER;506;932366688;BARCELONA 2-I
76924;F08004887;MASSOT MONER,NURIA;BARCELONA;GRACIA;08007;PASSEIG;50;932160365;BARCELONA 2-G
76925;F08004894;GRANELL SAENZ DE BURUAGA, MARTA;BARCELONA;SOLA;08014;CARRER;1;933219937;BARCELONA 4-B
76926;F08004904;MOYA BORT, MARIA ROSA;BARCELONA;CLOT;08026;CARRER;50;;BARCELONA 10-G
76927;F08004911;DE VILARRUBIA GOULA, MARIA CARLOTA;BARCELONA;VIA LAIETANA;08003;CARRER;40;932681579;BARCELONA 1-B
76928;F08004929;CLOS GATNAU, MARTA;BARCELONA;DIPUTACIO;08015;CARRER;106;936118581;BARCELONA 2-B
76929;F08004936;BRICIO ALONSO, BEATRIU;BARCELONA;SARDENYA;08025;CARRER;334;932367734;BARCELONA 2-K
76930;F08004943;CLAPES SERENTILL, ALICIAL/BILLOCH CLAPES, MIQUEL;BARCELONA;ENRIC GRANADOS;08008;CARRER;117;932182386;BARCELONA 2-E
76931;F08004950;RIBA IJALBA, LIBYA;BARCELONA;BALMES;08022;CARRER;395;934174257;BARCELONA 5-E
76932;F08004975;ARLEGUI DUATIS,SUSANA/VILASIS GRIFE,ANA;BARCELONA;DE DALT;08024;TRAVESSERA;91;932133574;BARCELONA 6-E
76933;F08004982;CAPDEVILA ARUS, RAMON;BARCELONA;CLOT;08026;CARRER;184;932321666;BARCELONA 10-G
76934;F08004990;TABERNER PUIGDELLOSES, NURIA;BARCELONA;VALENCIA;08013;CARRER;418;932320166;BARCELONA 2-I
76935;F08005009;LLADO ALMONACID, ANA MARIA;BARCELONA;ARIZALA;08028;CARRER;48;932404522;BARCELONA 4-C
76936;F08005016;PARICIO TOLEDO, JESUS CARLOS;BARCELONA;REGOMIR;08002;PLAÇA;3;933150305;BARCELONA 1-C
76937;F08005023;MARCO HERNANDEZ, DIONISIA;BARCELONA;MAJOR DE SARRIA;08017;CARRER;188;932030259;BARCELONA 5-D
76938;F08005030;MALO CRUZ, IRENE;BARCELONA;INDUSTRIA;08025;CARRER;80;932570620;BARCELONA 6-A
76939;F08005048;MAS DOCAMPO, MONTSERRAT;BARCELONA;CARME;08001;CARRER;23;933014776;BARCELONA 1-E
76940;F08005062;RIERA ALIBES, FRANCISCO;BARCELONA;ARAGO;08009;CARRER;286;933025272;BARCELONA 2-G
76941;F08005070;PRAT NOGUERA, ROSER;BARCELONA;PADILLA;08013;CARRER;156;932314704;BARCELONA 2-H
76942;F08005087;GABALDON FLOTATS, ALBERTO/FABRE RODRIGUEZ, SERGIO;BARCELONA;SARDENYA;08025;CARRER;487;932143587;BARCELONA 6-A
76943;F08005094;CATALAN LOBERA, JOSE MIGUEL;BARCELONA;CORSEGA;08037;CARRER;446;932571329;BARCELONA 6-A
76944;F08005111;FRANQUESA MASSO, M.MERCE/SOLE FREIXA, VICTOR;BARCELONA;ARIBAU;08011;CARRER;18;933174684;BARCELONA 2-D
76945;F08005129;BENEDID COSTA, MONTSERRAT;BARCELONA;SANT ANTONI ABAT;08001;CARRER;1;934410903;BARCELONA 1-D
76946;F08005136;ESTEBAN BOTER, MARGARITA;BARCELONA;MUNTANER;08036;CARRER;184;932305304;BARCELONA 2-E
76947;F08005143;PUJOL PEREITA, IGNACIO;BARCELONA;DE GRACIA;08008;PASSEIG;129;932181993;BARCELONA 6-B
76948;F08005150;MERCADE SALAVERT,MA.MERCE;BARCELONA;MERIDIANA;08026;AVINGUDA;117;932322908;BARCELONA 10-E
76949;F08005168;ESPONA MESEGUER, NURIA;BARCELONA;CATALUNYA;08007;PLAÇA;1;933171446;BARCELONA 2-D
76950;F08005175;JIMENEZ CARA, SONIA;BARCELONA;SANTS;08028;CARRER;145;933395582;BARCELONA 3-E
